State,Caste,Religion,Groom_Age,Bride_Age,Groom_Education_Yrs,Bride_Education_Yrs,Groom_Income_Monthly,Bride_Income_Monthly,Occupation,Marriage_Type,Area,Family_Type,Dowry_Amount_INR
Rajasthan,SC,Muslim,29,21,16,14,139882,52104,Business,Love,Rural,Nuclear,643114
Kerala,OBC,Muslim,21,29,17,10,63554,65692,Govt Job,Love,Urban,Joint,496434
Maharashtra,ST,Christian,28,29,17,14,53286,32341,Govt Job,Arranged,Urban,Joint,591887
Haryana,OBC,Muslim,27,27,15,8,99610,43283,Unemployed,Arranged,Urban,Joint,865062
Bihar,OBC,Sikh,33,30,15,12,58618,26546,Business,Love,Urban,Nuclear,323587
Karnataka,OBC,Sikh,29,18,11,17,146345,28136,Unemployed,Arranged,Urban,Joint,954170
Punjab,SC,Hindu,34,23,12,15,142821,26451,Business,Arranged,Rural,Joint,1972767
Punjab,OBC,Hindu,26,25,16,17,145836,22134,Farmer,Love,Urban,Joint,731384
Uttar Pradesh,ST,Hindu,25,23,19,16,68647,72225,Govt Job,Love,Urban,Nuclear,264843
Uttar Pradesh,OBC,Christian,25,29,13,16,36276,13980,Farmer,Love,Urban,Nuclear,170780
Uttar Pradesh,General,Sikh,34,21,17,9,102442,15171,Farmer,Love,Rural,Joint,456257
Uttar Pradesh,General,Christian,23,24,15,9,33628,42411,Govt Job,Arranged,Urban,Nuclear,632459
Punjab,General,Muslim,31,30,18,16,149484,78267,Unemployed,Arranged,Rural,Joint,1411268
Gujarat,ST,Christian,26,30,20,8,90148,50262,Govt Job,Love,Urban,Nuclear,282957
Kerala,General,Sikh,32,25,16,14,108422,62507,Unemployed,Love,Rural,Joint,319686
Punjab,ST,Christian,29,29,18,18,23756,70254,Govt Job,Love,Rural,Nuclear,91615
Haryana,General,Sikh,30,19,13,16,65480,32368,Business,Arranged,Urban,Joint,1277292
Gujarat,OBC,Hindu,24,25,11,16,39301,56074,Private Job,Arranged,Rural,Joint,448023
Haryana,OBC,Christian,35,24,10,8,87505,38582,Farmer,Arranged,Rural,Joint,994158
Haryana,ST,Muslim,34,22,13,8,14456,6962,Farmer,Arranged,Urban,Joint,38672
Punjab,ST,Sikh,31,26,13,17,58269,30417,Farmer,Love,Rural,Joint,249487
Maharashtra,OBC,Hindu,35,20,11,9,120623,42465,Private Job,Love,Rural,Joint,519452
Haryana,OBC,Christian,32,29,14,10,90319,28403,Farmer,Arranged,Urban,Nuclear,1076366
Punjab,OBC,Sikh,32,19,13,12,116455,26310,Unemployed,Arranged,Urban,Nuclear,851086
Uttar Pradesh,OBC,Hindu,24,20,15,15,90906,6393,Private Job,Love,Rural,Joint,372767
Tamil Nadu,SC,Hindu,29,25,19,9,98114,11503,Farmer,Arranged,Rural,Nuclear,756118
Punjab,SC,Muslim,30,26,10,11,115334,57601,Govt Job,Arranged,Rural,Nuclear,1707060
Bihar,OBC,Muslim,34,27,20,14,17891,73657,Private Job,Love,Urban,Nuclear,97505
